date,address,subArea,area,room,sqm,floor,objectType,constructionYear,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2015-01-26,Bastuhagsvägen 49,Stureby,GronHagsatra,2,36.5,2,Lägenhet,2015,2150000,0,2150000,2395,Mäklarhuset,498.2501635532705,Stureby
2015-01-22,Götaforsvägen 15,Stureby,GronHagsatra,2,55,3,Lägenhet,1952,1995000,375000,2370000,3309,Erik Olsson Fastighetsförmedling,411.86636220899095,Bandhagen
2015-01-21,Vivstavarvsvägen 163,Stureby,GronHagsatra,1,26,3,Lägenhet,1951,1395000,315000,1710000,1966,Mäklarhuset,1078.7590506238084,Stureby
2015-01-20,Sågverksgatan 108,Stureby,GronHagsatra,2,46,1,Lägenhet,1946,1795000,125000,1920000,3288,SkandiaMäklarna,950.1687141219791,Stureby
2015-01-16,Bjulevägen 26,Stureby,GronHagsatra,2,54,2,Lägenhet,1949,1900000,240000,2140000,4023,HusmanHagberg,1049.7995655743778,Stureby
2015-01-12,Bastuhagsvägen 52,Stureby,GronHagsatra,2,47,2,Lägenhet,2014,2375000,0,2375000,2844,Mäklarhuset,415.58063897944146,Stureby
2014-12-18,Sågverksgatan 108,Stureby,GronHagsatra,2,46,3,Lägenhet,1946,1595000,380000,1975000,3213,Notar,950.1687141219791,Stureby
2014-12-15,Bjulevägen 16,Stureby,GronHagsatra,2,56,1,Lägenhet,1950,1895000,455000,2350000,3973,HusmanHagberg,1029.8598261668028,Stureby
2014-12-12,Sågverksgatan 120,Stureby,GronHagsatra,3,83,3,Lägenhet,1950,2795000,-95000,2700000,4211,Länsförsäkringar Fastighetsförmedling,955.4870762041236,Stureby
2014-12-11,Bäckaskiftsvägen 52,Stureby,GronHagsatra,2,57,3,Lägenhet,1951,1995000,265000,2260000,2727,Mäklarhuset,313.77153187575,Bandhagen
2014-12-11,Mölndalsbacken 30,Stureby,GronHagsatra,6,146,null,Lägenhet,1964,4895000,955000,5850000,5740,Svensk Fastighetsförmedling,621.1300682242672,Bandhagen
2014-12-10,Östrandsvägen 72,Stureby,GronHagsatra,4,88,null,Lägenhet,1950,3195000,245000,3440000,4389,Fastighetsbyrån,1030.4090146386293,Stureby
2014-12-08,Kubikenborgsvägen 14,Stureby,GronHagsatra,6,150,null,Villa,1924,6895000,0,6895000,null,HusmanHagberg,703.0739644358565,Stureby
2014-12-03,Bäckaskiftsvägen 60,Stureby,GronHagsatra,2,57,3,Lägenhet,1951,2360000,0,2360000,2727,Länsförsäkringar Fastighetsförmedling,292.70514001655147,Stureby
2014-11-30,Bastuhagsvägen 10,Stureby,GronHagsatra,1,19,3,Lägenhet,1952,1195000,355000,1550000,888,ERA,663.3914407771958,Stureby
2014-11-28,Skärblackavägen 7,Stureby,GronHagsatra,9,165,null,Villa,null,7795000,580000,8375000,null,Svensk Fastighetsförmedling,426.04381102105276,Stureby
2014-11-21,Östrandsvägen 68,Stureby,GronHagsatra,2,62,3,Lägenhet,null,1650000,395000,2045000,3103,Mäklarhuset,1047.321754351412,Stureby
2014-11-20,Sågverksgatan 83,Stureby,GronHagsatra,2,54,3,Lägenhet,1946,2095000,5000,2100000,3596,Mäklarringen,827.8093050231099,Stureby
2014-11-20,Götaforsvägen 22,Stureby,GronHagsatra,3,67,1,Lägenhet,1952,2150000,250000,2400000,3730,Mäklarhuset,372.7641293694795,Bandhagen
2014-11-19,Bäckaskiftsvägen 56,Stureby,GronHagsatra,2,57,1.5,Lägenhet,1950,1995000,-70000,1925000,2727,Notar,330.3980139690745,Stureby
2014-11-18,Sågverksgatan 28,Stureby,GronHagsatra,7,157,null,Villa,1935,6500000,-500000,6000000,null,HusmanHagberg,54.81372607356811,Stureby
2014-11-13,Bjulevägen 20,Stureby,GronHagsatra,2,56,2,Lägenhet,1950,1795000,5000,1800000,3973,ERA,1035.5254931317625,Stureby
2014-11-13,Bäckaskiftsvägen 15,Stureby,GronHagsatra,3,79,1.5,Lägenhet,1951,2475000,245000,2720000,3440,Notar,305.0117541932716,Stureby
2014-11-12,Bastuhagsvägen 6,Stureby,GronHagsatra,1,19,3,Lägenhet,1952,1195000,235000,1430000,838,Bjurfors,690.6692340325143,Stureby
2014-10-31,Bäckaskiftsvägen 7,Stureby,GronHagsatra,4,86,null,Lägenhet,1952,2975000,350000,3325000,3745,Reimersholme Fastighetsmäkleri AB,362.1945776361075,Stureby
2014-10-29,Bäckaskiftsvägen 76,Stureby,GronHagsatra,1,18,2,Lägenhet,1950,1195000,75000,1270000,1508,Notar,272.2983605924026,Stureby
2014-10-28,Östrandsvägen 68,Stureby,GronHagsatra,1,26,3,Lägenhet,null,1250000,260000,1510000,1590,Svensk Fastighetsförmedling,1047.321754351412,Stureby
2014-10-25,Sågverksgatan 118,Stureby,GronHagsatra,4,83,1,Lägenhet,1950,2995000,285000,3280000,4211,Erik Olsson Fastighetsförmedling,937.6939922500451,Stureby
2014-10-24,Bandhagsvägen 22,Stureby,GronHagsatra,6,145,null,Villa,1946,6500000,75000,6575000,null,Svensk Fastighetsförmedling,508.29785068356205,Stureby
2014-10-23,Götaforsvägen 22,Stureby,GronHagsatra,3,67,2,Lägenhet,1952,2195000,180000,2375000,3841,HusmanHagberg,372.7641293694795,Bandhagen
2014-10-20,Skönviksvägen 329,Stureby,GronHagsatra,2,57,3,Lägenhet,null,1995000,270000,2265000,3338,Svensk Fastighetsförmedling,209.7987233390444,Stureby
2014-10-16,Sågverksgatan 118,Stureby,GronHagsatra,4,83,1,Lägenhet,1950,2995000,-145000,2850000,4211,Erik Olsson Fastighetsförmedling,937.6939922500451,Stureby
2014-10-13,Skönviksvägen 286,Stureby,GronHagsatra,2,51,1,Lägenhet,1961,1995000,5000,2000000,3527,SkandiaMäklarna,294.0288155952216,Stureby
2014-10-08,Bäckaskiftsvägen 25,Stureby,GronHagsatra,2,57,0.5,Lägenhet,1951,1995000,305000,2300000,2457,Notar,305.16045196273166,Stureby
2014-10-03,Sågverksgatan 57,Stureby,GronHagsatra,5,120,null,Radhus,2010,5850000,360000,6210000,2530,HusmanHagberg,456.33870359703553,Stureby
