date,address,subArea,area,room,sqm,floor,objectType,constructionYear,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
202013-02-11,Getfotsvägen 13,Gubbangen,GronHagsatra,4,93.5,2,Lägenhet,2009,2950000,300000,3250000,5172,HusmanHagberg,386.0426043035413,Gubbangen
202013-02-09,Sicklingsvägen,Gubbangen,GronHagsatra,4,78,6.5,Lägenhet,1948,1975000,275000,2250000,4044,Exbo,137.54669856434157,Gubbangen
202013-01-28,Lingvägen 105,Gubbangen,GronHagsatra,3,75,null,Lägenhet,null,2150000,200000,2350000,3331,Hemverket,197.761558646201,Gubbangen
202013-01-24,Rubanksgränd 5,Gubbangen,GronHagsatra,4,114,2,Lägenhet,1952,3150000,0,3150000,6998,Svensk Fastighetsförmedling,549.2580525083961,Gubbangen
202013-01-24,Karmstolsvägen 12,Gubbangen,GronHagsatra,2,58,null,Lägenhet,1947,1480000,40000,1520000,3949,ERA,213.0722985657335,Gubbangen
202013-01-21,Karmstolsvägen 13,Gubbangen,GronHagsatra,2,61,null,Lägenhet,1947,1450000,301000,1751000,3979,HusmanHagberg,136.35552712946998,Gubbangen
202013-01-19,Karmstolsvägen 7,Gubbangen,GronHagsatra,2,64,null,Lägenhet,1947,1725000,-25000,1700000,4176,HusmanHagberg,237.0198184751361,Gubbangen
202012-12-05,Dörrvägen 6,Gubbangen,GronHagsatra,2,53,2,Lägenhet,1947,1480000,45000,1525000,3142,Svensk Fastighetsförmedling,269.95941292670335,Gubbangen
202012-11-09,Getfotsvägen 7,Gubbangen,GronHagsatra,2,52,0.5,Lägenhet,1952,1450000,60000,1510000,2798,Bjurfors,325.6293027392975,Gubbangen
202012-11-02,Lingvägen 99,Gubbangen,GronHagsatra,2,60,2,Lägenhet,1951,1500000,25000,1525000,2600,Svensk Fastighetsförmedling,88.35590458839914,Gubbangen
202012-10-27,Knektvägen 17,Gubbangen,GronHagsatra,1,25,3,Lägenhet,1948,1200000,-100000,1100000,1437,Mäklarhuset,83.43158728673211,Gubbangen
202012-10-11,Majrovägen 13,Gubbangen,GronHagsatra,4.5,93,null,Lägenhet,1999,2495000,20000,2515000,6073,Fastighetsbyrån,241.94918962985318,Gubbangen
202012-09-14,Dörrvägen 4,Gubbangen,GronHagsatra,2,53,3,Lägenhet,1947,1450000,130000,1580000,3142,Svensk Fastighetsförmedling,258.1675702576046,Gubbangen
202012-09-13,Majrovägen 5,Gubbangen,GronHagsatra,3,68,null,Lägenhet,2009,1975000,275000,2250000,4212,Fastighetsbyrån,243.04967023197162,Gubbangen
202012-08-25,Bordsvägen 60,Gubbangen,GronHagsatra,3,68,null,Lägenhet,1948,1750000,250000,2000000,3475,Fastighetsbyrån,246.03391915415386,Gubbangen
